input,product_title,product_description,is_new
"Mình mới nhận nuôi một bé mèo Anh lông ngắn nên muốn tìm mua bé mèo nào đã được tiêm phòng đầy đủ sức khỏe tốt và đã biết đi vệ sinh đúng chỗ nha",Mèo Anh lông ngắn màu Silver,"Bé mèo sở hữu bộ lông màu xám bạc cực đẹp và khuôn mặt tròn xoe đáng yêu. Bé đã được 2 tháng tuổi đã qua kiểm tra sức khỏe tổng quát và tiêm phòng các mũi cơ bản. Tính cách rất quấn người dễ gần và đã được huấn luyện các thói quen sinh hoạt cơ bản giúp bạn dễ dàng chăm sóc.",False
"Em đang chuẩn bị cho lễ đính hôn nên muốn tìm thuê mẫu váy cưới nào đơn giản nhẹ nhàng tinh tế phù hợp với buổi lễ nhỏ ấm cúng của gia đình",Dịch vụ cho thuê váy cưới Simple,"Cung cấp bộ sưu tập váy cưới theo phong cách tối giản nhưng không kém phần sang trọng và đẳng cấp. Chất liệu vải ren và lụa cao cấp mang lại sự thoải mái cho cô dâu trong suốt buổi lễ. Dịch vụ bao gồm hỗ trợ chỉnh sửa số đo và cung cấp đầy đủ phụ kiện đi kèm.",True
"Tìm mua cây vợt cầu lông dành cho người mới tập chơi yêu cầu vợt nhẹ trợ lực tốt để đánh không bị mỏi tay và đã được căng sẵn lưới nha",Vợt Lining Windstorm 72,"Dòng vợt cầu lông siêu nhẹ nổi tiếng với khả năng điều cầu linh hoạt và trợ lực tối đa cho người chơi có lực cổ tay chưa mạnh. Vợt giúp bạn dễ dàng thực hiện các cú phông cầu và bỏ nhỏ chính xác. Đã được căng sẵn lưới chất lượng cao và tặng kèm quấn cán chống trơn trượt.",True
"Mình muốn mua máy pha cà phê gia đình loại nào nhỏ gọn dễ sử dụng để mỗi sáng tự pha một ly Espresso hoặc Cappuccino tại nhà cho tiện",Máy pha cà phê Delonghi,"Máy pha cà phê bán tự động thiết kế tinh tế phù hợp cho không gian bếp gia đình. Áp suất bơm tiêu chuẩn giúp chiết xuất trọn vẹn hương vị cà phê đậm đà. Có tích hợp vòi đánh sữa giúp bạn dễ dàng tạo lớp bọt mịn cho món cà phê sữa kiểu Ý ngay tại nhà.",False
"Cần mua bộ nồi chảo chống dính dùng được cho bếp từ yêu cầu chất liệu bền bỉ và dễ dàng vệ sinh sau khi nấu ăn ưu tiên hàng chính hãng",Bộ nồi chảo Sunhouse 5 món,"Bộ sản phẩm bao gồm các nồi và chảo với nhiều kích cỡ khác nhau phù hợp cho mọi nhu cầu nấu nướng của gia đình. Đáy từ đa lớp giúp hấp thụ nhiệt nhanh và tỏa nhiệt đều trên mọi loại bếp. Lớp chống dính cao cấp giúp thực phẩm không bị bám dính và tiết kiệm thời gian chùi rửa.",True
"Mình muốn tìm mua loa bluetooth để đi dã ngoại cùng bạn bè yêu cầu âm thanh phải lớn bass mạnh và đặc biệt là phải có khả năng chống nước tốt",Loa JBL Charge 5,"Loa di động với âm thanh bùng nổ và dải âm trầm sâu lắng phù hợp cho các buổi tiệc ngoài trời. Thiết kế bền bỉ với tiêu chuẩn chống nước IP67 giúp bạn yên tâm sử dụng ở bãi biển hay hồ bơi. Dung lượng pin lớn cho phép nghe nhạc liên tục cả ngày dài mà không lo hết pin.",True
"Tìm mua đồng hồ nam thiết kế sang trọng mặt kính sapphire chống xước tuyệt đối để mình đeo đi làm văn phòng nhìn cho lịch sự chút",Đồng hồ Orient Sun and Moon,"Sản phẩm đồng hồ cơ tự động cao cấp với mặt kính Sapphire nguyên khối chống trầy xước hoàn hảo. Thiết kế cổ điển kết hợp với ô cửa sổ hiển thị lịch ngày và đêm độc đáo mang lại vẻ đẹp lịch lãm cho phái mạnh. Dây da chính hãng mềm mại tạo cảm giác thoải mái khi đeo lâu.",True
"Nhà mình đông người nên muốn tìm mua giường ngủ gỗ công nghiệp kích thước 1m8 x 2m thiết kế hiện đại chắc chắn và không bị mối mọt nha",Giường ngủ gỗ công nghiệp 1m8,"Giường ngủ kích thước rộng rãi được làm từ gỗ công nghiệp MDF phủ Melamine cao cấp chống trầy xước và ẩm mốc hiệu quả. Kết cấu giường chắc chắn chịu được tải trọng lớn đảm bảo giấc ngủ ngon cho cả gia đình. Thiết kế tối giản phù hợp với nhiều phong cách nội thất phòng ngủ.",True
"Em đang cần mua tã dán loại nào thấm hút thật tốt và bề mặt mềm mại để dùng cho bé 10kg yêu cầu bỉm không gây hầm bí hay hăm da cho bé",Tã dán Huggies Skin Perfect,"Dòng tã dán cao cấp với công nghệ thấm hút vượt trội giúp bề mặt luôn khô thoáng suốt nhiều giờ. Chất liệu sợi bông mềm mại bảo vệ làn da nhạy cảm của bé khỏi tình trạng kích ứng và hăm tã. Thiết kế thun lưng co giãn linh hoạt giúp bé thoải mái vận động mà không lo rò rỉ.",True
"Điều hòa nhà mình đang bị chảy nước và không lạnh sâu nên cần tìm thợ chuyên nghiệp qua kiểm tra và vệ sinh máy gấp trong ngày hôm nay",Dữ liệu vệ sinh điều hòa tại nhà,"Dịch vụ sửa chữa và bảo dưỡng máy lạnh chuyên nghiệp với đội ngũ thợ lành nghề. Quy trình vệ sinh kỹ lưỡng giúp máy hoạt động ổn định tiết kiệm điện và làm lạnh nhanh hơn. Cam kết kiểm tra báo giá minh bạch và có mặt hỗ trợ khách hàng nhanh chóng tại khu vực.",True
"Mình muốn mua cây đàn guitar acoustic cho con tập chơi yêu cầu âm thanh phải vang sáng và bấm phím nhẹ không bị đau tay cho người mới bắt đầu",Guitar Acoustic gỗ hồng đào,"Đàn guitar được làm từ gỗ hồng đào tự nhiên cho chất âm ấm và vang rất phù hợp cho các bạn học sinh sinh viên bắt đầu tập đàn. Cần đàn được thiết kế chuẩn xác giúp việc bấm hợp âm trở nên nhẹ nhàng hơn. Tặng kèm đầy đủ bao da máy lên dây và bộ dây dự phòng.",True
"Tìm mua kệ gỗ nhiều tầng để sắp xếp lại đống sách và đồ trang trí trong phòng làm việc yêu cầu chất liệu gỗ tự nhiên chắc chắn và bền đẹp",Kệ sách gỗ cao su tự nhiên,"Kệ gỗ thiết kế 5 tầng rộng rãi giúp bạn thoải mái lưu trữ sách vở và các vật dụng trang trí. Chất liệu gỗ cao su tự nhiên đã qua xử lý đảm bảo không bị cong vênh hay mối mọt theo thời gian. Màu gỗ sáng tự nhiên mang lại cảm giác ấm cúng và ngăn nắp cho căn phòng của bạn.",True
"Mình cần tìm máy hút bụi cầm tay nhỏ gọn không dây để tiện vệ sinh trong xe ô tô và các góc hẻm nhỏ trong nhà yêu cầu lực hút phải mạnh",Máy hút bụi Xiaomi Mi Vacuum Cleaner,"Máy hút bụi thiết kế không dây cực kỳ linh hoạt với trọng lượng siêu nhẹ giúp bạn dễ dàng di chuyển và làm sạch mọi ngóc ngách. Lực hút lốc xoáy mạnh mẽ giúp loại bỏ hoàn toàn bụi bẩn và lông thú cưng trên các bề mặt vải và thảm. Đi kèm nhiều đầu hút chuyên dụng tiện lợi.",True
"Tìm mua thức ăn hạt khô dành riêng cho mèo con dưới 12 tháng tuổi yêu cầu giàu dinh dưỡng hỗ trợ tiêu hóa tốt và giúp bé phát triển khỏe mạnh",Royal Canin Mother & Babycat,"Sản phẩm thức ăn hạt cao cấp được thiết kế với kích thước nhỏ mịn phù hợp cho hàm răng của mèo con. Công thức giàu dưỡng chất thiết yếu giúp tăng cường hệ miễn dịch và hỗ trợ hệ tiêu hóa còn non nớt của bé. Giúp mèo con phát triển toàn diện cả về thể chất và trí não.",True
"Sắp tới mình làm đám cưới nên muốn tìm thợ trang điểm cô dâu chuyên nghiệp phong cách nhẹ nhàng trong trẻo kiểu Hàn Quốc và có nhận làm tại nhà",Make up cô dâu chuyên nghiệp,"Dịch vụ trang điểm ngày cưới với phong cách hiện đại giúp tôn vinh vẻ đẹp tự nhiên của cô dâu. Sử dụng các dòng mỹ phẩm cao cấp từ những thương hiệu nổi tiếng đảm bảo lớp nền bền đẹp và rạng rỡ suốt cả ngày lễ. Nhiếp ảnh gia trang điểm nhiệt tình hỗ trợ khách hàng tại nhà.",True
"Mình muốn mua nồi cơm điện có chức năng tách đường để dùng cho người già bị tiểu đường yêu cầu dung tích lớn đủ cho gia đình 4 người ăn",Nồi cơm điện tách đường Ninfu,"Sản phẩm ứng dụng công nghệ hiện đại giúp tách bỏ lượng đường có hại trong gạo mà vẫn giữ lại được các dưỡng chất cần thiết. Dung tích 1.8L đáp ứng tốt nhu cầu bữa cơm cho gia đình từ 4 đến 6 người. Thiết kế sang trọng dễ dàng sử dụng và vệ sinh sau mỗi lần nấu.",True
"Em đang tìm mua iPad cũ bản wifi ngoại hình còn đẹp màn hình không trầy xước để phục vụ việc học online và thỉnh thoảng xem phim giải trí",iPad Air 4 64GB Wifi,"Máy tính bảng sở hữu màn hình Liquid Retina tràn viền sắc nét mang lại trải nghiệm hình ảnh cực kỳ sống động. Hiệu năng mạnh mẽ với chip A14 Bionic cân tốt các ứng dụng học tập và giải trí hiện nay. Tình trạng máy còn rất mới pin bền đảm bảo thời gian sử dụng liên tục nhiều giờ.",False
"Cần thuê một chiếc ô tô 7 chỗ tự lái đời mới để chở gia đình đi dã ngoại cuối tuần yêu cầu xe sạch sẽ máy lạnh tốt và thủ tục nhanh gọn",Dịch vụ cho thuê xe Mitsubishi Xpander,"Cung cấp dòng xe 7 chỗ đa dụng được ưa chuộng nhất hiện nay với không gian nội thất rộng rãi và sạch sẽ. Xe vận hành êm ái tiết kiệm nhiên liệu phù hợp cho các chuyến đi chơi xa của gia đình. Thủ tục cho thuê đơn giản hỗ trợ giao nhận xe tận nơi theo yêu cầu của khách hàng.",True
"Mình muốn tìm mua bộ sập gỗ gụ mật cổ xưa chạm trổ hoa văn tinh xảo để trưng bày trong nhà cổ yêu cầu gỗ thật không pha tạp và còn bóng đẹp",Sập gụ tủ chè gỗ gụ mật,"Sản phẩm nội thất đồ gỗ cổ truyền với những đường nét điêu khắc thủ công tỉ mỉ thể hiện đẳng cấp của gia chủ. Chất liệu gỗ gụ mật tự nhiên càng dùng càng bóng đẹp và có giá trị sưu tầm cao theo thời gian. Sản phẩm là hàng gia bảo được giữ gìn cực kỳ cẩn thận qua nhiều thế hệ.",False
"Muốn mua bộ đồ chơi lắp ráp chủ đề cảnh sát để làm quà sinh nhật cho bé trai 6 tuổi yêu cầu hàng chính hãng Lego nhiều chi tiết để bé thỏa sức sáng tạo",Lego City Cảnh sát bắt cướp,"Bộ đồ chơi xếp hình nổi tiếng giúp trẻ phát triển kỹ năng lắp ráp và khả năng tưởng tượng phong phú thông qua các tình huống truy bắt tội phạm kịch tính. Sản phẩm bao gồm nhiều nhân vật và phương tiện giao thông đa dạng đảm bảo mang lại những giờ chơi thú vị và bổ ích cho bé.",True
"Ghế sofa nhà mình dùng lâu ngày bị bám bẩn và có mùi khó chịu nên cần tìm dịch vụ vệ sinh công nghiệp qua giặt sạch và khử khuẩn tại nhà",Vệ sinh công nghiệp sofa nệm thảm,"Dịch vụ vệ sinh chuyên sâu sử dụng công nghệ phun hút và hơi nước nóng giúp loại bỏ hoàn toàn vết bẩn nấm mốc và mùi hôi trên các bề mặt vải nệm. Quy trình thực hiện nhanh chóng an toàn cho sức khỏe và giúp khôi phục vẻ đẹp sạch như mới cho bộ ghế sofa của gia đình bạn.",True
"Tìm mua cây vợt tennis cũ chính hãng cho người mới tập chơi yêu cầu khung vợt còn chắc chắn không nứt vỡ và có trợ lực để đánh không bị đuối",Vợt Tennis Wilson chính hãng,"Vợt tennis thương hiệu Wilson nổi tiếng với độ bền cao và khả năng kiểm soát bóng cực tốt. Trọng lượng vợt được thiết kế cân bằng giúp người mới tập dễ dàng thực hiện các cú đánh chính xác và uy lực mà không tốn quá nhiều sức. Tình trạng vợt còn rất tốt khoảng 90% so với máy mới.",False
"Mình muốn mua bể cá cảnh mini để bàn làm việc yêu cầu trọn bộ có cả đèn led và hệ thống lọc nước để về chỉ việc thả cá vào chơi thôi",Bể cá mini trọn bộ phụ kiện,"Bể cá kính đúc siêu trong với kích thước nhỏ gọn rất phù hợp để trang trí không gian làm việc hoặc kệ sách. Bộ sản phẩm đã bao gồm đầy đủ hệ thống lọc nước đèn led chiếu sáng và các vật liệu trang trí cơ bản. Bạn chỉ cần cho nước và thả những chú cá yêu thích vào là có ngay không gian xanh.",True
"Cần tìm mua tủ sắt đựng hồ sơ văn phòng loại 2 cánh mở có khóa chắc chắn để bảo quản tài liệu quan trọng yêu cầu hàng Hòa Phát bền đẹp",Tủ sắt văn phòng Hòa Phát,"Tủ tài liệu làm từ sắt sơn tĩnh điện cao cấp giúp chống rỉ sét và bền bỉ trong môi trường văn phòng. Thiết kế hai cánh mở với ổ khóa an toàn giúp bảo mật hồ sơ quan trọng. Bên trong tủ có các đợt di động có thể điều chỉnh độ cao để phù hợp với nhiều loại kẹp file tài liệu khác nhau.",True
"Mình muốn tìm mua một bé chó Poodle con màu nâu đỏ cực xinh yêu cầu bé phải được tiêm phòng đầy đủ có sổ theo dõi sức khỏe và rất thông minh",Chó Poodle Tiny 2 tháng tuổi,"Bé cún sở hữu bộ lông xoăn tít màu nâu đỏ rất đáng yêu và đặc biệt không rụng lông phù hợp nuôi trong căn hộ. Bé đã được 2 tháng tuổi ăn uống khỏe mạnh và rất nghịch ngợm thông minh. Đã được tiêm phòng và tẩy giun định kỳ kèm theo sổ bảo hành sức khỏe cho chủ mới yên tâm.",False
"Máy tính của em đang bị nhiễm virus và chạy rất chậm nên cần tìm thợ qua cài lại windows và cài thêm các phần mềm văn phòng cơ bản tận nhà",Cài đặt Windows phần mềm văn phòng,"Dịch vụ xử lý sự cố máy tính tại nhà chuyên nghiệp giúp tối ưu hóa hệ thống và loại bỏ hoàn toàn virus gây hại. Nhận cài đặt các bản Windows mới nhất kèm bộ Office và các công cụ cần thiết cho công việc và học tập. Kiểm tra và vệ sinh máy giúp máy hoạt động mát mẻ và mượt mà hơn.",True
"Tìm mua bộ màu nước chất lượng tốt cho học sinh tập vẽ yêu cầu màu sắc tươi sáng dễ loang và có đầy đủ khay pha màu đi kèm nha shop",Bộ màu nước Deli 36 màu,"Sản phẩm bộ màu nước đa dạng sắc màu giúp các bạn học sinh thỏa sức sáng tạo trên giấy vẽ. Chất màu mịn dễ dàng pha trộn và tạo hiệu ứng loang màu đẹp mắt. Đi kèm với bộ màu là các phụ kiện hỗ trợ như cọ vẽ và bảng pha màu tiện lợi rất phù hợp cho việc học tập mỹ thuật.",True
"Mình muốn mua đặc sản hạt điều rang muối Bình Phước loại to ngon giòn rụm để làm quà biếu tết cho người thân yêu cầu đóng gói đẹp sang trọng",Hạt điều rang muối vỏ lụa,"Hạt điều loại một được tuyển chọn kỹ lưỡng rang muối thủ công giúp giữ nguyên vị bùi béo và thơm ngon tự nhiên. Lớp vỏ lụa mỏng giúp bảo vệ hạt luôn giòn và không bị quá mặn. Sản phẩm được đóng hộp nhựa cao cấp có tem nhãn rõ ràng rất lịch sự khi dùng làm quà tặng trong các dịp lễ tết.",True
"Tìm mua mẫu đèn học led chống cận thị cho bé tiểu học yêu cầu ánh sáng trung thực không bị nháy và có thể điều chỉnh được độ sáng linh hoạt",Đèn học LED chống cận Tiross,"Đèn bàn học công nghệ LED hiện đại cung cấp nguồn sáng ổn định và dịu nhẹ cho mắt giúp bảo vệ thị lực của trẻ khi ngồi học lâu. Thiết kế cổ ngỗng linh hoạt dễ dàng điều chỉnh góc chiếu sáng và cường độ sáng phù hợp với môi trường. Sản phẩm bền bỉ và tiết kiệm điện năng tiêu thụ.",True
"Mình muốn tìm mua máy khuếch tán tinh dầu dùng trong phòng ngủ để giúp thư giãn giảm căng thẳng yêu cầu hoạt động êm không có tiếng động",Máy xông tinh dầu siêu âm,"Thiết bị ứng dụng công nghệ sóng siêu âm để tạo ra lớp sương mịn lan tỏa hương thơm tinh dầu tự nhiên khắp căn phòng. Giúp khử mùi không khí và tạo độ ẩm nhẹ mang lại cảm giác dễ chịu và giấc ngủ sâu hơn. Máy có chế độ tự ngắt khi hết nước và hoạt động cực kỳ yên tĩnh vào ban đêm.",True
"Cần mua tủ vải đựng quần áo khung gỗ sồi chắc chắn kích thước lớn để đựng đồ cho cả gia đình yêu cầu vải bọc dày dặn bền đẹp không dễ rách",Tủ vải khung gỗ sồi cao cấp,"Tủ quần áo khung gỗ tự nhiên có khả năng chịu lực cực tốt không bị rung lắc như các loại khung sắt thông thường. Không gian tủ rộng rãi với nhiều ngăn treo và ngăn xếp đồ tiện lợi. Vải bọc oxford dày dặn chống bụi và chống ẩm giúp bảo quản trang phục của gia đình luôn sạch sẽ.",True
"Mình muốn mua bình nước giữ nhiệt loại xịn dung tích 1 lít để mang đi làm hàng ngày yêu cầu giữ lạnh lâu và chất liệu inox an toàn cho sức khỏe",Bình giữ nhiệt Lock&Lock,"Bình giữ nhiệt cao cấp với cấu tạo nhiều lớp giúp duy trì nhiệt độ của nước uống trong suốt cả ngày dài. Chất liệu inox 304 tiêu chuẩn an toàn thực phẩm giúp bạn hoàn toàn yên tâm khi sử dụng. Thiết kế nắp đậy thông minh chống rò rỉ và quai xách tiện lợi cho việc di chuyển thường xuyên.",True
"Tìm mua túi xách hàng hiệu secondhand còn mới khoảng 95% chất liệu da thật sang trọng để phối đồ đi tiệc yêu cầu hàng chuẩn bao check nha",Túi xách Coach chính hãng (2hand),"Sản phẩm túi xách nữ thời trang từ thương hiệu nổi tiếng thế giới với chất liệu da bò thật siêu bền và đường may tinh xảo. Ngoại hình còn rất đẹp da không bị bong tróc hay mất form. Thiết kế thanh lịch phù hợp cho nhiều sự kiện quan trọng mang lại vẻ ngoài đẳng cấp cho người sở hữu.",False
"Mình dạo này hay bị đau nhức vai gáy do ngồi làm máy tính nhiều nên muốn tìm mua máy massage cổ loại nào dùng hiệu quả và dễ sử dụng tại nhà",Máy massage cổ vai gáy 6D,"Thiết bị massage chuyên sâu với cơ chế xoa bóp mô phỏng động tác tay người giúp làm giãn cơ và giảm đau mỏi vùng cổ vai gáy nhanh chóng. Tích hợp chế độ sưởi ấm hồng ngoại giúp tăng cường lưu thông máu mang lại cảm giác thư giãn tuyệt vời sau giờ làm việc căng thẳng tại văn phòng.",True
"Cần mua đặc sản sâm cầm Hồ Tây làm quà tặng cao cấp cho đối tác yêu cầu chim tươi ngon được tuyển chọn kỹ và đóng gói sang trọng lịch sự",Sâm cầm Hồ Tây - Đặc sản quý hiếm,"Sản phẩm đặc sản tiến vua nổi tiếng với hương vị thơm ngon và giá trị dinh dưỡng cực kỳ cao tốt cho sức khỏe người già và người mới ốm dậy. Chim được tuyển chọn từ những con khỏe mạnh nhất đảm bảo chất lượng thịt chắc và ngọt. Dịch vụ đi kèm hỗ trợ đóng gói và vận chuyển chuyên nghiệp.",True
