productId,productName,productPrice,productDescription,categoryName,productBrand,productCondition,createdAt
284ac8c6-6af1-48a5-adc2-88ccb1fad9af,Iphone 7plus,2000000,"Tôi cần bán lại chiếc máy iphone 7plus , dùng được 4 năm rồi",Thiết bị điện tử,Apple,Cũ,2025-12-06T07:36:05.736Z
3bde9609-1196-4b6d-9b41-a72780d4056f,Quạt senko,250000,"Quạt senko là một sản phẩm chất lượng cao, có thiết kế hiện đại và sang trọng. Sản phẩm có màu trắng với bảng điều khiển màu xanh và lưới kim loại. Quạt có logo 'SENKO' trên cả mặt trước và đế, tạo nên một phong cách độc đáo. Sản phẩm này sẽ là một lựa chọn tuyệt vời cho những ai muốn có một không gian mát mẻ và thoải mái.",Đồ gia dụng,SENKO,Used,2026-01-22T15:05:17.719Z
3e226f11-833c-4b5f-996a-62c4abf09666,Xe honda vision mới 100%,43000000,"Dành cho Cửa hàng xe máy/Nhân viên Sales (Bán xe mới) ​Mẫu này tập trung vào sự khan hiếm của màu xe và hỗ trợ trả góp. ​Tiêu đề: 🔥 VISION THỂ THAO XÁM XI MĂNG - HÀNG VỀ SẴN KHO 🔥 ​Siêu phẩm ""quốc dân"" Honda Vision bản Sport màu Xám Đen (Xám xi măng) đẹp không tì vết đã cập bến tại HEAD. ✅ Màu hot nhất, nam nữ đi đều sang. ✅ Mâm đen 16 inch thể thao, cá tính. ✅ Smartkey hiện đại, khóa thông minh an toàn.",Xe cộ,Honda,Mới 100%,2025-12-06T03:22:44.371Z
3ede2fb1-3867-431b-8576-aab4fc41f7e6,Laptop Lenovo V15 ABA G3 cũ,9500000,"Laptop còn sử dụng ổn, có nâng cấp ram 16Gb và ổ ssd 256gb ",Thiết bị điện tử,Lenovo,Mới 95%,2025-12-05T03:22:47.810Z
4573ae4b-60e7-42e7-87e7-450f0163c825,iphone 12pro,5000000,"Sở hữu vẻ đẹp sang trọng và hiệu năng mạnh mẽ, iPhone 12 Pro (Like New) là sự lựa chọn hoàn hảo cho những ai tìm kiếm một thiết bị công nghệ đẳng cấp với mức chi phí tối ưu. Máy gây ấn tượng với thiết kế khung thép không gỉ tinh xảo, màn hình Super Retina XDR sắc nét cùng hệ thống camera Pro chuyên nghiệp, cho phép bạn ghi lại mọi khoảnh khắc với chất lượng điện ảnh và khả năng chụp đêm vượt trội. Được trang bị chip A14 Bionic siêu tốc cùng khả năng kết nối 5G tiên tiến, iPhone 12 Pro đảm bảo trải nghiệm mượt mà tuyệt đối từ các tác vụ công việc cho đến giải trí đỉnh cao, mang lại giá trị sử dụng bền bỉ và thời thượng theo thời gian.",Thiết bị điện tử,Apple,Like New,2026-04-30T01:17:45.646Z
47a9ab1c-4c03-4825-86e4-e3f4100fa006,Chuột Logitech M331 Silent,220000,"Chuột Logitech M331 Silent siêu êm, click không tiếng động. Mình dùng cho văn phòng khoảng 4 tháng nhưng giờ đổi sang chuột vertical để tránh đau cổ tay. Hình thức như mới, không trầy, pin còn dùng tốt.",Thiết bị điện tử,Logitech,Used,2025-12-02T09:20:12.000Z
4ab11f62-ef18-49cd-af4d-991e100fa013,Dịch vụ chụp ảnh sự kiện mini,300000,"Nhận chụp ảnh sinh nhật – sự kiện nhỏ – chụp couple. Mình sử dụng máy ảnh Sony A6400, có đèn flash đầy đủ. Ảnh hậu kỳ đẹp, giao file trong 24h.",Dịch vụ,Freelance,New,2025-11-05T13:15:11.000Z
4cdd5157-e85b-4f56-9d1c-300f00330202,Bộ dụng cụ vẽ Acrylic cho người mới,320000,"Bộ dụng cụ vẽ Acrylic gồm 24 màu, 5 cọ và 1 bảng trộn màu. Mình mua lúc tập tành hội họa nhưng hiện công việc bận nên không có thời gian vẽ. Màu còn hơn 90%, không bị khô cục, chất lượng rất ổn so với tầm giá. Phù hợp cho người mới hoặc dùng để vẽ trang trí canvas, thủ công mỹ nghệ. Nhượng lại cho bạn nào đam mê sáng tạo.",Giải trí & Sở thích,Deli,Used,2025-10-28T15:20:00.000Z
4e0ee416-df51-4089-a302-fa6e6ce187e9,Bảng Pegboard & Phụ kiện Setup,250000,"Bảng thép sơn tĩnh điện hoặc nhựa ABS cao cấp. Hệ lỗ tiêu chuẩn quốc tế, đi kèm combo móc treo tai nghe, khay đựng cốc, giá để bàn phím. Giúp tối ưu không gian bàn làm việc nhỏ.",Văn phòng,HyperWork,Mới,2025-12-06T09:58:00.720Z
4f141e56-d1be-4277-9a7b-ac55100fa002,Xe đạp địa hình Asama,1500000,"Xe đạp địa hình Asama khung thép carbon, bánh lớn, chạy rất đầm. Mình dùng để đi dạo buổi tối nên còn đẹp 90%. Phanh đĩa hoạt động tốt, yên êm, sang số mượt. Bạn nào cần xe tập thể dục buổi sáng thì rất hợp lý.",Xe cộ,Asama,Used,2025-10-20T13:45:22.000Z
5263c07c-71c7-432d-8d90-3f94cddd97d7,Kính Mát Chống Ánh Sáng Xanh,150000,Gọng kính vật liệu PEI hoặc TR90 siêu nhẹ (chỉ 8-15g). Tròng kính phân cực (Polarized) chống tia UV400 và ánh sáng xanh hại mắt. Thiết kế Unisex phù hợp cả nam và nữ.,Thời trang,Xiaomi TS,Mới,2025-12-06T10:01:59.644Z
5c6ee129-90aa-4d4e-b5be-5d34100fa018,Ghế ăn dặm gấp gọn,250000,"Ghế ăn dặm gấp gọn tiện lợi, có mâm ăn tháo rời. Mình dùng cho bé khoảng 4 tháng, giữ gìn rất kỹ. Ghế chắc, khóa an toàn hoạt động bình thường.",Mẹ & Bé,Munchkin,Used,2025-08-20T09:11:11.000Z
61e4a7d5-0201-4215-9b3a-6eb403774c83,Tour du lịch Đà Nẵng - Hội An,4500000,"​✨ Bạn chọn gì cho kỳ nghỉ sắp tới? Một Đà Nẵng năng động với Cầu Rồng phun lửa, biển xanh cát trắng hay một Hội An trầm mặc, lãng mạn dưới ánh đèn lồng? ​Tại sao phải chọn khi bạn có thể tận hưởng cả hai? 👉 Sáng đón bình minh trên biển Mỹ Khê - một trong những bãi biển đẹp nhất hành tinh. 👉 Chiều dạo bước trên Cầu Vàng - Bà Nà Hills, chạm tay vào mây trời. 👉 Tối thả hoa đăng, nghe bài chòi và thưởng thức Cao Lầu bên sông Hoài thơ mộng.",Dịch vụ,Không,Không,2025-12-06T14:00:00.393Z
68d6c687-9669-4859-aebf-998146909498,VF 5 Plus (A-SUV),530000000,"VF 5 Plus là lựa chọn lý tưởng cho người lần đầu mua xe. Thiết kế trẻ trung, năng động với 16 tùy chọn màu ngoại thất. Nội thất 5 chỗ bọc giả da, vô lăng D-cut thể thao. Xe được trang bị hệ thống ADAS cơ bản (Cảnh báo điểm mù, Cảnh báo giao thông phía sau) và màn hình giải trí 8 inch, phù hợp di chuyển hàng ngày trong thành phố",Xe cộ,VF,Mới,2025-12-06T10:16:05.382Z
7dd7fc88-4003-42ec-9e94-12a75dcebbe5,Chuột inphic,250000,"Sở hữu ngay Chuột Inphic với tình trạng Like New cực chất, độ mới lên đến 99%. Đây là hàng lướt, người dùng trước sử dụng cực ít nên ngoại hình vẫn đẹp như mới, không tì vết. Sản phẩm mang đến trải nghiệm mượt mà với 4 mức điều chỉnh DPI linh hoạt, kết nối USB ổn định và chế độ bảo hành lên đến 2 năm, giúp bạn hoàn toàn yên tâm về chất lượng. Một lựa chọn hoàn hảo cho những ai tìm kiếm một thiết bị hiệu năng cao với mức giá tối ưu hơn hàng mới đập hộp.",Thiết bị điện tử,Inphic,Like New,2026-04-24T11:49:01.079Z
81dc2b85-63b7-44e9-8805-b02c86915a1c,Asus K34E cũ,1800000,"Em cần pass laptop cũ này ạ, do em mới mua đồ mới, lap còn xài oke, chạy windows 11 25H2",Thiết bị điện tử,Asus,Used,2025-12-03T11:08:06.935Z
9321f422-6646-4ec8-bf4d-0ca0100fa011,Giày Adidas Runfalcon 3.0,650000,"Giày Adidas nhẹ, chạy cực êm, mình mua để tập gym nhưng giờ ít dùng nên bán. Đế còn rất mới, không bị bẹp, dây giày nguyên bản.",Thời trang,Adidas,Used,2025-10-12T12:12:11.000Z
9cd4fcec-c444-46e0-88b2-77d14bbb213b,iphone 14 pro,1200000,"iPhone 14 Pro là chiếc smartphone cao cấp của Apple, được trang bị màn hình Super Retina XDR 6.1 inch, chip A16 Bionic mạnh mẽ, RAM 6GB và bộ nhớ trong 128GB (có thể mở rộng lên 256GB/512GB). Thiết bị hỗ trợ công nghệ 5G, camera hệ thống ba ống kính với khả năng chụp ảnh chuyên nghiệp và pin dung lượng khoảng 3200 mAh, cho thời gian sử dụng lâu dài. Với thiết kế sang trọng, khung thép không gỉ và mặt kính Ceramic Shield, iPhone 14 Pro mang lại trải nghiệm mượt mà và bền bỉ cho người dùng.",Thiết bị điện tử,Apple,Used,2026-01-31T01:27:04.181Z
a6ccc4bb-81a5-4ea7-8fc4-241b2ae616eb,Lenovo IDEAPAD FLEX 5I,5000000,"Tôi muốn bán con máy này ; tôi dùng cũng tầm gần 3 năm rồi, hiện tại nó không đáp ứng được nhu cầu của tôi nên tôi cần cho em nó ra đi",Thiết bị điện tử,Lenovo ,Cũ,2025-12-06T07:01:28.239Z
ad71f0c4-e2df-41df-8df1-300f00330203,Bộ xếp hình Lego Creator 31129,650000,"Bộ Lego Creator 31129 – Tiger 3 in 1. Có thể lắp thành hổ, cáo hoặc rồng tùy thích. Bé nhà mình đã lớn nên không còn chơi nữa nên mình để lại cho bạn nào cần. Lego còn đầy đủ 100% chi tiết, màu sắc đẹp, không trầy xước. Bộ này giúp trẻ phát triển khả năng tư duy, sáng tạo và kiên nhẫn. Rất phù hợp cho trẻ từ 7 tuổi trở lên.",Giải trí & Sở thích,LEGO,Used,2025-09-18T11:05:00.000Z
ae90712a-70fc-4416-aa1f-d381100fa005,Tai nghe Sony WH-CH520,890000,"Tai nghe Sony dòng CH520 mới mua 5 tháng, âm thanh ấm, pin dùng được 40 tiếng. Mình chủ yếu dùng nghe nhạc lúc làm việc, giữ gìn kỹ nên không trầy xước. Kết nối Bluetooth 5.2 rất ổn định. Bán vì mình đổi sang tai nghe chống ồn.",Thiết bị điện tử,Sony,Used,2025-12-01T15:21:14.000Z
bdc130dd-b602-4c23-98dc-ff82100fa015,Bộ dụng cụ vẽ Acrylic cho người mới,180000,"Bộ vẽ acrylic gồm 12 màu + 3 cọ + palette. Mình mua để học vẽ nhưng không có thời gian nên hầu như còn mới. Màu bám tốt, phù hợp người mới tập vẽ.",Giải trí & Sở thích,ArtVN,Used,2025-10-13T10:10:11.000Z
c59dd03b-952e-4150-b63f-ef9a522b3398,iphone 12 pro,9000000,"Điện thoại iPhone 12 Pro là một trong những mẫu điện thoại cao cấp của Apple, với thiết kế sang trọng và tính năng hiện đại. Sản phẩm này đã qua sử dụng nhưng vẫn đảm bảo chất lượng và hiệu suất tốt.",Thiết bị điện tử,Apple,Used,2026-04-12T10:26:03.216Z
cc27daa4-4075-4f63-8efe-b75b37878c0f,Acer Nitro V,25000000,"Acer Nitro V là chiếc laptop gaming mạnh mẽ, thiết kế chắc chắn và phù hợp cho người dùng yêu thích hiệu năng cao. Máy được trang bị bộ vi xử lý Intel Core i7 thế hệ mới, RAM 16 GB và ổ SSD 512 GB, mang lại trải nghiệm mượt mà trong mọi tác vụ. Màn hình 15.6 inch Full HD với tần số quét 144 Hz giúp hình ảnh sắc nét và phản hồi nhanh. Dù đã qua sử dụng, Nitro V vẫn duy trì độ bền và hiệu năng đáng tin cậy cho các game thủ và người làm việc chuyên nghiệp.",Thiết bị điện tử,Acer,Used,2026-01-24T01:26:09.975Z
cd2ebf27-9fef-4fd7-8136-3123ca4f770f,Samsung S25,1200000,"Hàng vãn còn xài tốt, tác vụ cơ bản tốt",Thiết bị điện tử,jsjdj,hdjnd,2025-12-12T06:50:49.843Z
d021497c-6745-4d70-93ae-11b4100fa008,Kệ tài liệu 3 tầng kim loại,120000,"Kệ tài liệu bằng kim loại, rất chắc chắn, mình dùng để phân loại giấy tờ khi làm việc từ xa. Nay không dùng nữa nên để lại cho bạn nào cần tổ chức góc làm việc gọn gàng.",Văn phòng,OfficeVN,Used,2025-10-22T12:22:11.000Z
d4ce8d4e-0d78-4627-b76c-b1f1100fa007,Loa Bluetooth JBL GO 3,550000,"Loa JBL GO 3 nhỏ gọn nhưng âm bass khá tốt. Mình dùng để nghe chill mỗi tối, còn khoảng 95%. Kết nối mượt, pin dùng được 4-5 tiếng. Bán vì mình nâng cấp lên loa lớn hơn.",Thiết bị điện tử,JBL,Used,2025-12-04T11:12:51.000Z
d84d19f7-1001-488c-84f6-45502d4a2ad6,iPhone 16 Pro,2500000,"iPhone 16 Pro là chiếc smartphone cao cấp của Apple, được thiết kế với màn hình Super Retina XDR sắc nét và hiệu năng mạnh mẽ nhờ chip A17 Bionic. Thiết bị hỗ trợ công nghệ 5G, camera hệ thống ba ống kính với khả năng chụp ảnh và quay video chuyên nghiệp. Dù đã qua sử dụng, iPhone 16 Pro vẫn duy trì thời lượng pin ấn tượng và đáp ứng tốt mọi nhu cầu công việc và giải trí của người dùng.",Thiết bị điện tử,Apple,Used,2026-01-23T11:26:36.230Z
d9dae00e-6b60-4ddc-97ae-c37da848c397,Tủ để quần áo như hình,2500000,"Mình cần pass lại chiếc tủ quần áo màu nâu, hàng còn rất mới do mới mua nhưng không vừa phòng ​📏 Thông tin chi tiết: ​Kích thước: Cao 3m x Ngang 5m x Sâu 4m ​Chất liệu: Gỗ sồi ​Màu sắc: Màu nâu vân gỗ, nhìn rất sang và sạch. ​Tình trạng: Mới cứng, bản lề cửa êm ru, không trầy xước, không ẩm mốc.",Nội thất,không có,Mới 100%,2025-12-06T03:13:23.369Z
dcfe3179-fb34-46a8-87c8-aae9100fa014,Vợt cầu lông Lining Wind Lite,450000,"Vợt Lining nhẹ, dễ đánh, phù hợp người mới tập cầu lông. Mình dùng khoảng 2 tháng, không bị sứt lưới hay cong khung. Tặng kèm 1 bao vợt.",Giải trí & Sở thích,Lining,Used,2025-10-11T11:12:11.000Z
df090ec1-9abd-45ec-aeb9-23fdcbed5775,Logitech chuột,250000,"Chuột còn xài tốt, đồ còn mới ken",Thiết bị điện tử,Logitech,99%,2025-12-11T13:10:20.795Z
df2df778-54bf-4d44-942b-d3b1f4c6b4ad,Tủ lạnh Samsung,1200000,"Do nhu cầu chuyển nhà nên mình cần pass lại nhanh chiếc tủ lạnh Samsung này. Tủ dùng rất giữ gìn, phù hợp cho sinh viên hoặc gia đình [2-4] người. Kích thước 2.5m, dung tích 330l",Thiết bị điện tử,Samsung,Mới 85%,2025-12-06T03:08:30.892Z
f282d875-016a-4315-be3b-aa85e4e52bca,iPhone 16 Pro,2500000,"Điện thoại iPhone 16 Pro với màn hình đen và khung trắng, hiển thị các ứng dụng và tiện ích. Mặt sau của điện thoại là màu bạc.",Thiết bị điện tử,Apple,New,2026-01-23T09:44:40.459Z
fb21a222-d359-4ef0-98de-2d6a909e6eac,Bộ Xếp Hình Nam Châm,350000,"Bộ đồ chơi gồm 60-100 chi tiết nhựa ABS an toàn, bên trong có nam châm vĩnh cửu lực hút mạnh. Đạt tiêu chuẩn an toàn Châu Âu (CE). Màu sắc pastel dịu mắt, giúp bé phát triển tư duy hình học",Mẹ & Bé,Mideer,Mới,2025-12-06T10:06:33.954Z
